feature_name,accuracy,precision,recall,f1,roc_auc
Laplacian Variance,0.6555555555555556,0.6535087719298246,0.6622222222222223,0.6578366445916115,0.7058441358024692
High Frequency Energy Ratio,0.6422222222222222,0.6584158415841584,0.5911111111111111,0.6229508196721312,0.692229012345679
Log Spectrum Std,0.645,0.6240494296577946,0.7294444444444445,0.6726434426229508,0.6887487654320987
Noise Residual Energy,0.6344444444444445,0.6488314883148831,0.5861111111111111,0.6158785755983655,0.6793901234567901
Max Gradient,0.6305555555555555,0.6491116751269036,0.5683333333333334,0.606042654028436,0.6781645061728394
Low Frequency Energy Ratio,0.6252777777777778,0.6490416391275612,0.5455555555555556,0.592816178690009,0.6691114197530864
Std Gradient,0.6294444444444445,0.6541005291005291,0.5494444444444444,0.5972222222222222,0.6618984567901235
Mid Frequency Energy Ratio,0.6225,0.6453526697429136,0.5438888888888889,0.5902924329213144,0.6606376543209876
Mean Gradient,0.6113888888888889,0.6194163192376414,0.5777777777777777,0.5978729519977005,0.649458487654321
Spectral Bandwidth,0.6091666666666666,0.6209230769230769,0.5605555555555556,0.5891970802919708,0.646168827160494
Intensity Std,0.5977777777777777,0.611251580278129,0.5372222222222223,0.5718509757539917,0.6359870370370371
Patch Variance Std,0.5963888888888889,0.6093257718966604,0.5372222222222223,0.5710067906702097,0.6296259259259259
Spectral Centroid,0.5866666666666667,0.5845986984815619,0.5988888888888889,0.5916575192096597,0.618366975308642
Local Entropy Mean,0.5841666666666666,0.5959468017732742,0.5227777777777778,0.55696951760876,0.6142481481481481
Patch Variance Mean,0.5908333333333333,0.5954465849387041,0.5666666666666667,0.5807002561912895,0.6134385802469136
Orientation Mean,0.5741666666666667,0.5870841487279843,0.5,0.54005400540054,0.5994916666666666
Gradient Entropy,0.5561111111111111,0.5589953271028038,0.5316666666666666,0.5449886104783599,0.5824055555555555
Orientation Std,0.5633333333333334,0.599476439790576,0.38166666666666665,0.4663951120162933,0.5821976851851851
Radial Entropy,0.5755555555555556,0.550482553823311,0.8238888888888889,0.6599910992434357,0.579353086419753
Edge Density,0.5525,0.5498154981549815,0.5794444444444444,0.5642412767108467,0.578121450617284
Orientation Entropy,0.5519444444444445,0.6054114994363021,0.29833333333333334,0.39970227018980276,0.5728361111111111
Local Entropy Std,0.5516666666666666,0.5563636363636364,0.51,0.5321739130434783,0.5665387345679013
Global Entropy,0.55,0.5436893203883495,0.6222222222222222,0.5803108808290155,0.5650669753086419
Intensity Mean,0.5433333333333333,0.5299309286262471,0.7672222222222222,0.6268724466636405,0.5583211419753087
Radial Mean,0.5397222222222222,0.5322217214961694,0.6561111111111111,0.5877083851704404,0.5580432098765433
Radial Std,0.5416666666666666,0.5340290381125227,0.6538888888888889,0.5879120879120879,0.5579938271604938
